Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GO_Cellular_Component_2018	mitochondrial respiratory chain complex IV (GO:0005751)	1/18	0.008965646634045048	0.07831117621490707	0.016758174877728536	0.13892953817434592	-1.990395995760645	9.383433405751038	COX13
GO_Cellular_Component_2018	P-body (GO:0000932)	1/52	0.025703615873135195	0.07831117621490707	0.04621975330577988	0.13892953817434592	-1.4554004812930776	5.328401051732798	DHH1
GO_Cellular_Component_2018	cytoplasmic stress granule (GO:0010494)	1/96	0.04698670572894423	0.07831117621490707	0.08335772290460752	0.13892953817434592	-1.7143732480248226	5.24236579564932	DHH1
GO_Cellular_Component_2018	90S preribosome (GO:0030686)	1/83	0.04074249961582169	0.07831117621490707	0.07250011878532034	0.13892953817434592	-1.5594336801109565	4.990941785530991	IMP3
GO_Cellular_Component_2018	small-subunit processome (GO:0032040)	1/54	0.026680231659324122	0.07831117621490707	0.047931913192470595	0.13892953817434592	-1.3436689345106116	4.869230986281162	IMP3
GO_Cellular_Component_2018	small ribosomal subunit (GO:0015935)	1/79	0.03881381138409632	0.07831117621490707	0.0691399956420702	0.13892953817434592	-1.3793955036517749	4.481627206394778	IMP3
GO_Cellular_Component_2018	preribosome (GO:0030684)	1/183	0.08784191756248493	0.10980239695310616	0.15358665604155036	0.19198332005193805	-1.7518305836069832	4.2608312003500375	IMP3
GO_Cellular_Component_2018	cytoplasmic ribonucleoprotein granule (GO:0036464)	1/131	0.06361662081137734	0.09088088687339618	0.11211610493735454	0.16016586419622067	-1.5008366422616592	4.134625613358112	DHH1
GO_Cellular_Component_2018	cytosol (GO:0005829)	1/676	0.2910164854375313	0.3233516504861455	0.47855227953749774	0.5317247550416646	-1.4533967908847256	1.7940371904988213	MTD1
GO_Cellular_Component_2018	mitochondrion (GO:0005739)	1/1063	0.4208954653267297	0.4208954653267297	0.6594834254293304	0.6594834254293304	-1.4150423035841202	1.2245362577661458	COX13
