Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GO_Molecular_Function_2018	oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor (GO:0016646)	1/16	0.007973049000390163	0.03265313984312515	0.019761090368694518	0.08825506576624573	-1.838519677367009	8.883154013883733	MTD1
GO_Molecular_Function_2018	snoRNA binding (GO:0030515)	1/29	0.014408973594058773	0.03265313984312515	0.034673758611597966	0.08825506576624573	-1.5821522149503369	6.7081736633615465	IMP3
GO_Molecular_Function_2018	ATP-dependent RNA helicase activity (GO:0004004)	1/41	0.02031644713545606	0.03265313984312515	0.04828766768040227	0.08825506576624573	-1.6832463879190858	6.5584741698304025	DHH1
GO_Molecular_Function_2018	RNA helicase activity (GO:0003724)	1/38	0.018842574123913713	0.03265313984312515	0.044897778115322175	0.08825506576624573	-1.6418889761652664	6.520986003427924	DHH1
GO_Molecular_Function_2018	RNA-dependent ATPase activity (GO:0008186)	1/39	0.01933408671089113	0.03265313984312515	0.046028745814532854	0.08825506576624573	-1.6104988348550762	6.3548441452603885	DHH1
GO_Molecular_Function_2018	ATP-dependent helicase activity (GO:0008026)	1/47	0.023258216801231964	0.03265313984312515	0.05504036784983759	0.08825506576624573	-1.5422026100061736	5.800373299252832	DHH1
GO_Molecular_Function_2018	ATPase activity, coupled (GO:0042623)	1/69	0.03397681264181051	0.041527215451101766	0.07949325689765373	0.10930322823427387	-1.6991741868496482	5.746737882209184	HSP82
GO_Molecular_Function_2018	rRNA binding (GO:0019843)	1/48	0.023747738067727394	0.03265313984312515	0.05616231457852004	0.08825506576624573	-1.5010375443775783	5.614282682461962	IMP3
GO_Molecular_Function_2018	RNA binding (GO:0003723)	2/477	0.022502563076595976	0.03265313984312515	0.09692047010619298	0.11845835235201374	-1.362694907263281	5.170236261853644	IMP3;DHH1
GO_Molecular_Function_2018	ATPase activity (GO:0016887)	1/112	0.054621651505853526	0.06008381665643887	0.12591404896548447	0.13850545386203306	-1.4229333909313182	4.136929717070773	HSP82
GO_Molecular_Function_2018	mRNA binding (GO:0003729)	1/197	0.09426699413625464	0.09426699413625464	0.21248823285944396	0.21248823285944396	-1.3764308441154471	3.250612335715345	DHH1
