Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GO_Biological_Process_2018	cytoplasmic mRNA processing body assembly (GO:0033962)	1/7	0.0034952779131673523	0.02092925362602419	0.010170484584554034	0.05646138543595341	-2.3828811470147206	13.478391640045107	DHH1
GO_Biological_Process_2018	UDP-N-acetylglucosamine metabolic process (GO:0006047)	1/7	0.0034952779131673523	0.02092925362602419	0.010170484584554034	0.05646138543595341	-2.1399058173456837	12.104039983332731	GFA1
GO_Biological_Process_2018	lysine biosynthetic process via aminoadipic acid (GO:0019878)	1/8	0.003993704723571726	0.02092925362602419	0.01143571191568052	0.05646138543595341	-2.169407629583643	11.981716386369007	LYS1
GO_Biological_Process_2018	stress granule assembly (GO:0034063)	1/12	0.005985169044889512	0.02092925362602419	0.01648315278679749	0.05646138543595341	-2.3345866066553382	11.949513132531095	DHH1
GO_Biological_Process_2018	leucine biosynthetic process (GO:0009098)	1/7	0.0034952779131673523	0.02092925362602419	0.010170484584554034	0.05646138543595341	-2.0857717030334	11.797838897851813	LEU1
GO_Biological_Process_2018	fungal-type cell wall chitin biosynthetic process (GO:0034221)	1/15	0.007476414732123616	0.02092925362602419	0.02025462370016151	0.05646138543595341	-2.2644360232887024	11.08668310820671	GFA1
GO_Biological_Process_2018	nucleotide-sugar metabolic process (GO:0009225)	1/8	0.003993704723571726	0.02092925362602419	0.01143571191568052	0.05646138543595341	-1.9966295107690717	11.027456620165507	GFA1
GO_Biological_Process_2018	positive regulation of translational fidelity (GO:0045903)	1/11	0.005487639223035565	0.02092925362602419	0.015223310540536423	0.05646138543595341	-1.9762850388722115	10.287071789427324	IMP3
GO_Biological_Process_2018	regulation of organelle assembly (GO:1902115)	1/9	0.004491907152303811	0.02092925362602419	0.012699591253035403	0.05646138543595341	-1.7826556859004137	9.636105934634154	DHH1
GO_Biological_Process_2018	leucine metabolic process (GO:0006551)	1/9	0.004491907152303811	0.02092925362602419	0.012699591253035403	0.05646138543595341	-1.7662565497963554	9.547460766649642	LEU1
GO_Biological_Process_2018	lysine biosynthetic process (GO:0009085)	1/10	0.004989885288620551	0.02092925362602419	0.013962123744806987	0.05646138543595341	-1.7786324247588947	9.427360779791082	LYS1
GO_Biological_Process_2018	regulation of translational elongation (GO:0006448)	1/9	0.004491907152303811	0.02092925362602419	0.012699591253035403	0.05646138543595341	-1.7142824241943109	9.26651577871816	DHH1
GO_Biological_Process_2018	branched-chain amino acid biosynthetic process (GO:0009082)	1/13	0.006482474843696221	0.02092925362602419	0.017741651631752654	0.05646138543595341	-1.7770726076334815	8.954052085650211	LEU1
GO_Biological_Process_2018	negative regulation of cellular amide metabolic process (GO:0034249)	1/23	0.011443231288742015	0.025069965369688838	0.03025300479005599	0.06614328358197633	-1.8988296789566277	8.488446314722088	DHH1
GO_Biological_Process_2018	regulation of cytoplasmic mRNA processing body assembly (GO:0010603)	1/14	0.006979556709344762	0.02092925362602419	0.018998808220801546	0.05646138543595341	-1.7047843015609454	8.463861740207339	DHH1
GO_Biological_Process_2018	cell wall chitin biosynthetic process (GO:0006038)	1/16	0.007973049000390163	0.02092925362602419	0.021509099213696533	0.05646138543595341	-1.7364988627313522	8.390221237483804	GFA1
GO_Biological_Process_2018	fungal-type cell wall polysaccharide biosynthetic process (GO:0051278)	1/24	0.011938078747470864	0.025069965369688838	0.03149680170570301	0.06614328358197633	-1.855166163064314	8.214716756025094	GFA1
GO_Biological_Process_2018	aspartate family amino acid biosynthetic process (GO:0009067)	1/18	0.008965646634045048	0.022150421095875995	0.02401403492094978	0.05932879215764064	-1.701432194484355	8.021155451151088	LYS1
GO_Biological_Process_2018	deadenylation-dependent decapping of nuclear-transcribed mRNA (GO:0000290)	1/16	0.007973049000390163	0.02092925362602419	0.021509099213696533	0.05646138543595341	-1.6431183563377167	7.939035737322563	DHH1
GO_Biological_Process_2018	phosphate-containing compound metabolic process (GO:0006796)	1/43	0.021297921818443196	0.0315555084013467	0.054877594185297425	0.08124105256385923	-1.92226313599968	7.3990710345918345	GFA1
GO_Biological_Process_2018	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:0000288)	1/33	0.016381683885670368	0.02917606573868045	0.04263127400299044	0.07575297705906259	-1.7048050888157749	7.0094619495533665	DHH1
GO_Biological_Process_2018	mitochondrial genome maintenance (GO:0000002)	1/40	0.019825377684390556	0.0315555084013467	0.05121748554419953	0.08124105256385923	-1.7160133209209938	6.728132091175262	GGC1
GO_Biological_Process_2018	negative regulation of gene expression (GO:0010629)	1/33	0.016381683885670368	0.02917606573868045	0.04263127400299044	0.07575297705906259	-1.6260104921647989	6.685490763240758	DHH1
GO_Biological_Process_2018	negative regulation of cellular protein metabolic process (GO:0032269)	1/23	0.011443231288742015	0.025069965369688838	0.03025300479005599	0.06614328358197633	-1.4910113848633355	6.665352998909468	DHH1
GO_Biological_Process_2018	negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	1/35	0.017366705796833602	0.02917606573868045	0.04509105777325156	0.07575297705906259	-1.6001759084945708	6.485833577521511	DHH1
GO_Biological_Process_2018	negative regulation of translation (GO:0017148)	1/33	0.016381683885670368	0.02917606573868045	0.04263127400299044	0.07575297705906259	-1.3869595451866192	5.7026109444034025	DHH1
GO_Biological_Process_2018	alpha-amino acid biosynthetic process (GO:1901607)	1/35	0.017366705796833602	0.02917606573868045	0.04509105777325156	0.07575297705906259	-1.4008587098378165	5.677961035032292	LEU1
