Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GO_Cellular_Component_2018	cytoplasmic stress granule (GO:0010494)	2/96	0.00100064076305021	0.009255755923841792	0.0027281143093475196	0.02492844905502324	-1.7960878928305817	12.405785125018713	LEU1;DHH1
GO_Cellular_Component_2018	cytoplasmic ribonucleoprotein granule (GO:0036464)	2/131	0.0018511511847683585	0.009255755923841792	0.0049856898110046495	0.02492844905502324	-1.5728675811300437	9.896400357193038	LEU1;DHH1
GO_Cellular_Component_2018	P-body (GO:0000932)	1/52	0.025703615873135195	0.0667005791483103	0.04621975330577988	0.11982978298117651	-1.443992286260406	5.286634239647884	DHH1
GO_Cellular_Component_2018	90S preribosome (GO:0030686)	1/83	0.04074249961582169	0.06790416602636945	0.07250011878532034	0.12083353130886725	-1.5448982494346182	4.944421379271671	IMP3
GO_Cellular_Component_2018	small-subunit processome (GO:0032040)	1/54	0.026680231659324122	0.0667005791483103	0.047931913192470595	0.11982978298117651	-1.3327965071568826	4.829831132040912	IMP3
GO_Cellular_Component_2018	small ribosomal subunit (GO:0015935)	1/79	0.03881381138409632	0.06790416602636945	0.0691399956420702	0.12083353130886725	-1.3684704640220284	4.4461319806194375	IMP3
GO_Cellular_Component_2018	mitochondrial inner membrane (GO:0005743)	1/109	0.05319430647459151	0.07599186639227358	0.09411971999646304	0.1344567428520901	-1.4524235510493262	4.261125892341633	GGC1
GO_Cellular_Component_2018	preribosome (GO:0030684)	1/183	0.08784191756248493	0.10980239695310616	0.15358665604155036	0.19198332005193805	-1.7518305836069832	4.2608312003500375	IMP3
GO_Cellular_Component_2018	cytosol (GO:0005829)	1/676	0.2910164854375313	0.3233516504861455	0.47855227953749774	0.5317247550416646	-1.4533967908847256	1.7940371904988213	LEU1
GO_Cellular_Component_2018	mitochondrion (GO:0005739)	1/1063	0.4208954653267297	0.4208954653267297	0.6594834254293304	0.6594834254293304	-1.4150423035841202	1.2245362577661458	GGC1
