Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GO_Molecular_Function_2018	RNA binding (GO:0003723)	3/477	0.0014277033316669459	0.014277033316669461	0.009872711575577476	0.05616231457852004	-1.4049202080584993	9.204599131631369	IMP3;LYS1;DHH1
GO_Molecular_Function_2018	oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor (GO:0016646)	1/16	0.007973049000390163	0.023747738067727394	0.019761090368694518	0.05616231457852004	-1.8263355779775856	8.824284243421598	LYS1
GO_Molecular_Function_2018	mRNA binding (GO:0003729)	2/197	0.0041238183532874145	0.020619091766437073	0.01872951289261391	0.05616231457852004	-1.4565205651242656	7.997719117100095	LYS1;DHH1
GO_Molecular_Function_2018	snoRNA binding (GO:0030515)	1/29	0.014408973594058773	0.023747738067727394	0.034673758611597966	0.05616231457852004	-1.568991193322833	6.652372193799832	IMP3
GO_Molecular_Function_2018	ATP-dependent RNA helicase activity (GO:0004004)	1/41	0.02031644713545606	0.023747738067727394	0.04828766768040227	0.05616231457852004	-1.6585683712360937	6.462320608391226	DHH1
GO_Molecular_Function_2018	RNA helicase activity (GO:0003724)	1/38	0.018842574123913713	0.023747738067727394	0.044897778115322175	0.05616231457852004	-1.6167194977365706	6.421021987023817	DHH1
GO_Molecular_Function_2018	RNA-dependent ATPase activity (GO:0008186)	1/39	0.01933408671089113	0.023747738067727394	0.046028745814532854	0.05616231457852004	-1.5870267375728897	6.262225934826162	DHH1
GO_Molecular_Function_2018	ATP-dependent helicase activity (GO:0008026)	1/47	0.023258216801231964	0.023747738067727394	0.05504036784983759	0.05616231457852004	-1.5272119404233573	5.743991939876362	DHH1
GO_Molecular_Function_2018	rRNA binding (GO:0019843)	1/48	0.023747738067727394	0.023747738067727394	0.05616231457852004	0.05616231457852004	-1.4870428349691216	5.5619387188001035	IMP3
GO_Molecular_Function_2018	hydro-lyase activity (GO:0016836)	1/37	0.018350839835303563	0.023747738067727394	0.043765805111723656	0.05616231457852004	-1.322929402256113	5.289177502467666	LEU1
