Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GO_Biological_Process_2018	UDP-N-acetylglucosamine metabolic process (GO:0006047)	1/7	0.0034952779131673523	0.011495740462450195	0.010170484584554034	0.03129215471661429	-2.1399058173456837	12.104039983332731	GFA1
GO_Biological_Process_2018	lysine biosynthetic process via aminoadipic acid (GO:0019878)	1/8	0.003993704723571726	0.011495740462450195	0.01143571191568052	0.03129215471661429	-2.169407629583643	11.981716386369007	LYS1
GO_Biological_Process_2018	leucine biosynthetic process (GO:0009098)	1/7	0.0034952779131673523	0.011495740462450195	0.010170484584554034	0.03129215471661429	-2.0886586042618283	11.814168199643314	LEU1
GO_Biological_Process_2018	tricarboxylic acid metabolic process (GO:0072350)	1/7	0.0034952779131673523	0.011495740462450195	0.010170484584554034	0.03129215471661429	-2.073299170072477	11.727289980965507	IDH1
GO_Biological_Process_2018	nucleotide-sugar metabolic process (GO:0009225)	1/8	0.003993704723571726	0.011495740462450195	0.01143571191568052	0.03129215471661429	-1.9966295107690717	11.027456620165507	GFA1
GO_Biological_Process_2018	fungal-type cell wall chitin biosynthetic process (GO:0034221)	1/15	0.007476414732123616	0.01162997847219229	0.02025462370016151	0.03150719242247347	-2.2504664307700724	11.018287956472683	GFA1
GO_Biological_Process_2018	positive regulation of endocytosis (GO:0045807)	1/11	0.005487639223035565	0.011495740462450195	0.015223310540536423	0.03129215471661429	-2.1157339155485313	11.012939049011962	CLC1
GO_Biological_Process_2018	glutamate biosynthetic process (GO:0006537)	1/12	0.005985169044889512	0.011495740462450195	0.01648315278679749	0.03129215471661429	-2.0583012900132025	10.535354835670738	IDH1
GO_Biological_Process_2018	positive regulation of transport (GO:0051050)	1/11	0.005487639223035565	0.011495740462450195	0.015223310540536423	0.03129215471661429	-1.8702319792422128	9.735038344633963	CLC1
GO_Biological_Process_2018	positive regulation of cellular component organization (GO:0051130)	1/10	0.004989885288620551	0.011495740462450195	0.013962123744806987	0.03129215471661429	-1.8055848156559666	9.570217678905074	CLC1
GO_Biological_Process_2018	leucine metabolic process (GO:0006551)	1/9	0.004491907152303811	0.011495740462450195	0.012699591253035403	0.03129215471661429	-1.7662565497963554	9.547460766649642	LEU1
GO_Biological_Process_2018	lysine biosynthetic process (GO:0009085)	1/10	0.004989885288620551	0.011495740462450195	0.013962123744806987	0.03129215471661429	-1.7803785015812998	9.436615584732737	LYS1
GO_Biological_Process_2018	receptor-mediated endocytosis (GO:0006898)	1/9	0.004491907152303811	0.011495740462450195	0.012699591253035403	0.03129215471661429	-1.7132056535692173	9.260695318888047	CLC1
GO_Biological_Process_2018	pyridoxal phosphate biosynthetic process (GO:0042823)	1/10	0.004989885288620551	0.011495740462450195	0.013962123744806987	0.03129215471661429	-1.6917502531757993	8.96685552561717	PDX3
GO_Biological_Process_2018	branched-chain amino acid biosynthetic process (GO:0009082)	1/13	0.006482474843696221	0.011495740462450195	0.017741651631752654	0.03129215471661429	-1.771937338829952	8.928177248492121	LEU1
GO_Biological_Process_2018	protein oligomerization (GO:0051259)	1/14	0.006979556709344762	0.011495740462450195	0.018998808220801546	0.03129215471661429	-1.7848516045274936	8.861377473781172	CLC1
GO_Biological_Process_2018	glutamate metabolic process (GO:0006536)	1/14	0.006979556709344762	0.011495740462450195	0.018998808220801546	0.03129215471661429	-1.775243423831544	8.813675067728402	IDH1
GO_Biological_Process_2018	regulation of endocytosis (GO:0030100)	1/13	0.006482474843696221	0.011495740462450195	0.017741651631752654	0.03129215471661429	-1.7225517563155162	8.679340438890227	CLC1
GO_Biological_Process_2018	cell wall chitin biosynthetic process (GO:0006038)	1/16	0.007973049000390163	0.011749756421627617	0.021509099213696533	0.031697619893868594	-1.7267890726243775	8.34330655823149	GFA1
GO_Biological_Process_2018	fungal-type cell wall polysaccharide biosynthetic process (GO:0051278)	1/24	0.011938078747470864	0.015193918405872022	0.03149680170570301	0.04008683853453108	-1.8495253884377292	8.18973928135758	GFA1
GO_Biological_Process_2018	aspartate family amino acid biosynthetic process (GO:0009067)	1/18	0.008965646634045048	0.012551905287663062	0.02401403492094978	0.033619648889329695	-1.694944534070952	7.990570316545737	LYS1
GO_Biological_Process_2018	phosphate-containing compound metabolic process (GO:0006796)	1/43	0.021297921818443196	0.02385367243665638	0.054877594185297425	0.06146290548753312	-1.928470041563979	7.422962318940568	GFA1
GO_Biological_Process_2018	glutamine family amino acid biosynthetic process (GO:0009084)	1/27	0.013421283788080763	0.016338954176793968	0.03522021882994863	0.042876788140807004	-1.5297772724203984	6.594737479933219	IDH1
GO_Biological_Process_2018	dicarboxylic acid biosynthetic process (GO:0043650)	1/20	0.009957350325474588	0.013276467100632782	0.0265136244861639	0.03535149931488519	-1.3939380661241545	6.4252798377044815	IDH1
GO_Biological_Process_2018	alpha-amino acid biosynthetic process (GO:1901607)	1/35	0.017366705796833602	0.020261156762972535	0.04509105777325156	0.052606234068793487	-1.4008587098378165	5.677961035032292	LEU1
GO_Biological_Process_2018	cellular protein complex assembly (GO:0043623)	1/98	0.047944099039573376	0.049719806411409405	0.1199237946443395	0.12436541666820394	-1.4557714789181966	4.422225481978941	CLC1
GO_Biological_Process_2018	endocytosis (GO:0006897)	1/98	0.047944099039573376	0.049719806411409405	0.1199237946443395	0.12436541666820394	-1.410211744397103	4.283827785727127	CLC1
GO_Biological_Process_2018	vesicle-mediated transport (GO:0016192)	1/213	0.10156004191548336	0.10156004191548336	0.24394180411064587	0.24394180411064587	-1.6161346502936336	3.6962698162122836	CLC1
