Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GO_Cellular_Component_2018	clathrin-coated vesicle membrane (GO:0030665)	1/6	0.002996626630900936	0.032962892939910296	0.006198786230867994	0.06818664853954791	-2.220147282079392	12.899650884534344	CLC1
GO_Cellular_Component_2018	vesicle coat (GO:0030120)	1/22	0.010948160791983895	0.06021488435591144	0.020259199595210504	0.11142559777365774	-1.6089937689478488	7.2639372052494835	CLC1
GO_Cellular_Component_2018	trans-Golgi network (GO:0005802)	1/39	0.01933408671089113	0.06460672037729831	0.03503435723884998	0.11461686899383532	-1.802521798627328	7.112544790969612	CLC1
GO_Cellular_Component_2018	mitochondrial intermembrane space (GO:0005758)	1/57	0.028143503430780075	0.06460672037729831	0.05049582954718027	0.11461686899383532	-1.6808820151728914	6.001486255967832	PDX3
GO_Cellular_Component_2018	mitochondrial envelope (GO:0005740)	1/65	0.03203588713410981	0.06460672037729831	0.057307624808282775	0.11461686899383532	-1.5921404973558044	5.478393899488293	PDX3
GO_Cellular_Component_2018	cytoplasmic stress granule (GO:0010494)	1/96	0.04698670572894423	0.06460672037729831	0.08335772290460752	0.11461686899383532	-1.681687390102519	5.14241601880186	LEU1
GO_Cellular_Component_2018	Golgi subcompartment (GO:0098791)	1/72	0.0354302073641048	0.06460672037729831	0.06323782168739632	0.11461686899383532	-1.5110501099613058	5.047195233405998	CLC1
GO_Cellular_Component_2018	mitochondrial matrix (GO:0005759)	1/85	0.041705536979706734	0.06460672037729831	0.07417676495474536	0.11461686899383532	-1.4376404306993482	4.567558145826634	IDH1
GO_Cellular_Component_2018	cytoplasmic ribonucleoprotein granule (GO:0036464)	1/131	0.06361662081137734	0.07775364765835008	0.11211610493735454	0.13703079492343326	-1.4720242667143053	4.055250961537069	LEU1
GO_Cellular_Component_2018	cytosol (GO:0005829)	1/676	0.2910164854375313	0.32011813398128436	0.47855227953749774	0.5264075074912481	-1.4383489388281463	1.7754624926627307	LEU1
GO_Cellular_Component_2018	mitochondrion (GO:0005739)	1/1063	0.4208954653267297	0.4208954653267297	0.6594834254293304	0.6594834254293304	-1.3991972523150522	1.21082441343754	IDH1
